dataset,file_name,source,file_type,compression,encoding,language_hint,dataset_type,classification_confidence,n_columns,estimated_records,records_sampled,text_length_avg,encoding_quality,dominant_script,mixed_language,code_switching,romanized,errors,relative_path
0.txt,0.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,82.0,1.0,Devanagari,False,False,False,0,0.txt
1.txt,1.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,202.0,1.0,Devanagari,False,False,False,0,1.txt
10.txt,10.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,93.0,1.0,Devanagari,False,False,False,0,10.txt
1000.txt,1000.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,28.0,1.0,Devanagari,False,False,False,0,1000.txt
10000.txt,10000.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,35.0,1.0,Devanagari,False,False,False,0,10000.txt
10003.txt,10003.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,108.0,1.0,Devanagari,False,False,False,0,10003.txt
10004.txt,10004.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,103.0,1.0,Devanagari,False,False,False,0,10004.txt
10006.txt,10006.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,325.0,1.0,Devanagari,False,False,False,0,10006.txt
10009.txt,10009.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,258.33,1.0,Devanagari,False,False,False,0,10009.txt
10011.txt,10011.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,15,6,532.0,1.0,Devanagari,False,False,False,0,10011.txt
10012.txt,10012.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10012.txt
10013.txt,10013.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,30,12,139.92,1.0,Devanagari,False,False,False,0,10013.txt
10014.txt,10014.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,96.0,1.0,Devanagari,False,False,False,0,10014.txt
10015.txt,10015.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,80.67,1.0,Devanagari,False,True,False,0,10015.txt
10017.txt,10017.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,18,7,69.14,1.0,Devanagari,False,False,False,0,10017.txt
10018.txt,10018.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,17,7,212.14,1.0,Devanagari,False,False,False,0,10018.txt
1002.txt,1002.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,134.5,1.0,Devanagari,False,False,False,0,1002.txt
10021.txt,10021.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,42,17,109.06,1.0,Devanagari,False,False,False,0,10021.txt
10022.txt,10022.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,102.0,1.0,Devanagari,False,False,False,0,10022.txt
10023.txt,10023.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,42,16,289.38,1.0,Devanagari,False,False,False,0,10023.txt
10025.txt,10025.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,79.0,1.0,Devanagari,False,False,False,0,10025.txt
10026.txt,10026.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,66.0,1.0,Devanagari,False,False,False,0,10026.txt
10027.txt,10027.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,422.0,1.0,Devanagari,False,False,False,0,10027.txt
10028.txt,10028.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,228.0,1.0,Devanagari,False,False,False,0,10028.txt
10029.txt,10029.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,82.5,1.0,Devanagari,False,False,False,0,10029.txt
10031.txt,10031.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,459.0,1.0,Devanagari,False,False,False,0,10031.txt
10032.txt,10032.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,82.0,1.0,Devanagari,False,False,False,0,10032.txt
10033.txt,10033.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,71.0,1.0,Devanagari,False,False,False,0,10033.txt
10034.txt,10034.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,7,3,334.0,1.0,Devanagari,False,False,False,0,10034.txt
10035.txt,10035.txt,unknown,txt,none,utf-8,,Monolingual,0.55,1,20,8,303.38,1.0,Devanagari,False,False,False,0,10035.txt
10037.txt,10037.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,4,2,261.5,1.0,Devanagari,True,True,False,0,10037.txt
10039.txt,10039.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,313.0,1.0,Devanagari,False,False,False,0,10039.txt
10040.txt,10040.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,199.0,1.0,Devanagari,False,False,False,0,10040.txt
10041.txt,10041.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,268.5,1.0,Devanagari,False,False,False,0,10041.txt
10044.txt,10044.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,59.0,1.0,Devanagari,False,False,False,0,10044.txt
10046.txt,10046.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,128.0,1.0,Devanagari,False,False,False,0,10046.txt
10047.txt,10047.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10047.txt
10048.txt,10048.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,5,2,384.5,1.0,Devanagari,False,False,False,0,10048.txt
1005.txt,1005.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,60.0,1.0,Devanagari,False,False,False,0,1005.txt
10050.txt,10050.txt,unknown,txt,none,ascii,,Unknown,0.2,0,,0,0.0,1.0,,False,False,False,0,10050.txt
10051.txt,10051.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,15,6,136.0,1.0,Devanagari,False,False,False,0,10051.txt
10055.txt,10055.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,79.0,1.0,Devanagari,False,False,False,0,10055.txt
10058.txt,10058.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,53.0,1.0,Devanagari,False,False,False,0,10058.txt
1006.txt,1006.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,156.0,1.0,Devanagari,False,False,False,0,1006.txt
10060.txt,10060.txt,unknown,txt,none,utf_8,,Bilingual,0.55,1,4,2,63.5,1.0,Devanagari,True,True,False,0,10060.txt
10061.txt,10061.txt,unknown,txt,none,utf_8,,Monolingual,0.55,1,2,1,37.0,1.0,Devanagari,False,False,False,0,10061.txt
